image_filename,
processed_2024-05-30_photo_original_002.jpg,"Remove the small metallic brand tag located at the top center of the left chest pocket. Keep everything else as is, don’t touch the mannequin"
processed_2024-05-30_photo_original_003.jpg,"Remove the square, metallic brand tag from the top center of the left chest pocket. Keep everything else as is, don’t touch the mannequin"
processed_2024-05-30_photo_original_005.jpg,"Remove the small, dark, rectangular brand tag from the top center of the left chest pocket. Keep everything else as is, don’t touch the mannequin"
processed_2024-05-30_photo_original_006.jpg,"Remove the brand label from the left chest pocket. Keep everything else as is, don’t touch the mannequin"
processed_2024-05-30_photo_original_007.jpg,"Remove the small, gold metallic bar from the bottom edge of the left chest pocket. Keep everything else as is, don’t touch the mannequin"
processed_2024-06-08_photo_original_001.jpg,"Add matching trousers to the attire, make the inner tunic and agbada cuff length. Keep everything else as is, don’t touch the mannequin"
processed_2024-06-20_photo_original_002.jpg,"Remove the reddish-orange decorative pin from the left lapel of the jacket. Keep everything else as is, don’t touch the mannequin"
processed_2024-06-20_photo_original_003.jpg,"Add matching trousers to the attire, make the inner tunic and agbada cuff length. Keep everything else as is, don’t touch the mannequin"
processed_2024-07-01_screenshot_instagram_001.jpg,"Remove the small alligator logo on the left chest. Keep everything else as is, don’t touch the mannequin"
processed_2024-07-01_screenshot_instagram_003.jpg,"Remove the small, metallic, shield-shaped logo from the left chest. Keep everything else as is, don’t touch the mannequin"
processed_2024-07-01_screenshot_instagram_004.jpg,"Remove the small gold metallic tag on the left chest. Keep everything else as is, don’t touch the mannequin"
processed_2024-07-01_screenshot_instagram_006.jpg,"Remove the metallic brand label from the center chest, add matching trousers Keep everything else as is, don’t touch the mannequin"
processed_2024-07-01_screenshot_instagram_007.jpg,"Make background white Keep everything else as is, don’t touch the mannequin"
processed_2024-07-01_screenshot_instagram_008.jpg,"Add matching trousers to the attire Keep everything else as is, don’t touch the mannequin"
processed_2024-07-01_screenshot_instagram_009.jpg,"Remove just metallic brand label or tag from the top centre of the left chest pocket. Keep everything else as is, don’t touch the mannequin"
processed_2024-07-01_screenshot_instagram_010.jpg,"Remove the small embroidered brand logo from the right sleeve hem and add matching formal trousers. Keep everything else as is, don’t touch the mannequin"
processed_2024-07-02_screenshot_instagram_002.jpg,"Remove the small, rectangular metallic brand tag from the edge of the chest pocket and add matching trouser Keep everything else as is, don’t touch the mannequin"
processed_2024-07-02_screenshot_instagram_003.jpg,"Remove the brand patch from the flap of the left chest pocket and add matching trouser Keep everything else as is, don’t touch the mannequin"
processed_2024-07-02_screenshot_instagram_004.jpg,"Remove the small rectangular brand label from the left chest and add matching trouser Keep everything else as is, don’t touch the mannequin"
processed_2024-07-02_screenshot_instagram_005.jpg,"Remove the small rectangular brand label from the right chest pocket. Keep everything else as is, don’t touch the mannequin"
processed_2024-07-02_screenshot_instagram_006.jpg,"Remove the small, rectangular metallic brand plate from the top edge of the left chest pocket. Keep everything else as is, don’t touch the mannequin"
processed_2024-07-02_screenshot_instagram_007.jpg,"Remove the small metallic brand label on the right chest, above the pocket. Keep everything else as is, don’t touch the mannequin"
processed_2024-07-02_screenshot_instagram_008.jpg,"Remove the small white brand label from the right chest pocket and add matching trousers Keep everything else as is, don’t touch the mannequin"
processed_2024-07-02_screenshot_instagram_009.jpg,"Remove just the rectangular gold-toned metallic label or tag from the center placket and add matching trousers Keep everything else as is, don’t touch the mannequin"
processed_2024-07-02_screenshot_instagram_010.jpg,Remove the embroidered brand logo on the upper left chest and show full mannequin from head to toe in center of image. Keep everything else as is
processed_2024-07-02_screenshot_instagram_011.jpg,"Remove the brand label from the left chest and add matching trouser Keep everything else as is, don’t touch the mannequin"
processed_2024-07-10_screenshot_instagram_002.jpg,"Remove the watermark text from the bottom left corner and matching trouser to mannequin Keep everything else as is, don’t touch the mannequin"
processed_2024-07-10_screenshot_instagram_005.jpg,"Add matching traditional trousers to complete the man's outfit. Keep everything else as is, don’t touch the mannequin"
processed_2024-07-15_screenshot_instagram_001.jpg,"Remove the small circular decorative pin from the left lapel. Keep everything else as is, don’t touch the mannequin"
processed_2025-04-04_generated_utc_001.jpg,"Remove the small metallic pin from the left lapel. Keep everything else as is, don’t touch the mannequin"
processed_2025-04-04_generated_utc_004.jpg,"Remove the small metallic brand pin from the suit's left lapel. Keep everything else as is, don’t touch the mannequin"
processed_2024-07-10_screenshot_instagram_003.jpg,"make attire sleeves elbow length Keep everything else as is, don’t touch the mannequin"
processed_2025-04-08_generated_utc_001.jpg,"Remove the small, metallic, star-shaped pin from the left lapel. Keep everything else as is, don’t touch the mannequin"
processed_2025-04-17_photo_unknown_001.jpg,"Remove the small metallic brand plaque from the welt of the lower right pocket. Keep everything else as is, don’t touch the mannequin"
processed_2025-04-24_generated_utc_001.jpg,"Remove the small, horizontal metallic bar from the top of the chest pocket. Keep everything else as is, don’t touch the mannequin"
processed_2025-04-25_generated_style_transfer_edward_001.jpg,"Remove the watermark from the bottom right corner. Keep everything else as is, don’t touch the mannequin"
processed_2025-04-25_generated_style_transfer_edward_002.jpg,"Remove the red decorative lapel pin from the left lapel and let the mannequin wear a white inner shirt with a tie Keep everything else as is, don’t touch the mannequin"
processed_2025-04-25_generated_utc_001.jpg,"Remove the small white embroidered brand logo on the left chest pocket Keep everything else as is, don’t touch the mannequin"
